"hasfix","satellitesused","date","time","lat","lon","altitude","course","speedkmhr","humidity","temperature","bat"
true,14,"200823","002312","3438.4358N","9220.7546W",93.50,177.61,51.97,75.34,29.63,3.87
true,11,"200823","002314","3438.3879N","9220.7556W",93.00,181.54,55.95,100.00,29.60,3.87
true,13,"200823","002317","3438.3539N","9220.7576W",93.40,183.33,56.86,76.29,29.61,3.87
true,13,"200823","002318","3438.3452N","9220.7582W",93.50,182.71,56.89,76.09,29.58,3.88
true,13,"200823","002319","3438.3375N","9220.7578W",93.70,183.08,56.56,75.89,29.55,3.88
true,12,"200823","002320","3438.3288N","9220.7583W",93.80,182.93,56.21,76.01,29.51,3.88
true,12,"200823","002321","3438.3204N","9220.7589W",94.00,183.06,56.49,75.94,29.50,3.88
true,12,"200823","002322","3438.3119N","9220.7593W",94.10,181.43,56.00,75.68,29.47,3.87
true,13,"200823","002323","3438.3035N","9220.7596W",94.20,182.04,56.52,75.66,29.44,3.87
true,13,"200823","002324","3438.2950N","9220.7598W",94.20,180.23,57.15,75.60,29.41,3.88
true,13,"200823","002325","3438.2864N","9220.7601W",94.30,181.38,56.41,75.68,29.38,3.87
true,13,"200823","002326","3438.2778N","9220.7605W",94.30,181.23,55.84,75.55,29.37,3.88
true,13,"200823","002327","3438.2693N","9220.7610W",94.40,181.40,55.39,75.48,29.38,3.88
true,12,"200823","002328","3438.2611N","9220.7613W",94.50,181.69,55.08,75.38,29.38,3.88
true,12,"200823","002329","3438.2530N","9220.7614W",94.60,179.13,53.58,75.43,29.38,3.88
true,12,"200823","002330","3438.2450N","9220.7615W",94.70,181.15,52.76,75.19,29.43,3.88
true,12,"200823","002331","3438.2373N","9220.7615W",94.80,181.09,51.74,75.02,29.46,3.87
true,12,"200823","002332","3438.2298N","9220.7615W",94.90,182.93,51.26,74.88,29.49,3.88
true,13,"200823","002333","3438.2222N","9220.7616W",95.00,182.34,53.04,74.82,29.49,3.88
true,12,"200823","002334","3438.2146N","9220.7615W",95.10,180.75,52.54,74.84,29.51,3.87
true,13,"200823","002335","3438.2069N","9220.7613W",95.30,180.12,52.04,75.11,29.49,3.88
true,12,"200823","002336","3438.1984N","9220.7614W",95.40,180.91,53.12,75.18,29.47,3.88
true,12,"200823","002337","3438.1905N","9220.7618W",95.50,184.01,53.17,75.14,29.44,3.88
true,12,"200823","002338","3438.1828N","9220.7624W",95.60,185.67,53.12,75.05,29.41,3.88
true,12,"200823","002339","3438.1748N","9220.7629W",95.80,184.03,53.15,74.86,29.40,3.88
true,13,"200823","002340","3438.1667N","9220.7629W",96.00,180.02,54.93,74.89,29.37,3.87
true,13,"200823","002341","3438.1581N","9220.7630W",96.20,182.40,56.56,74.87,29.35,3.88
true,14,"200823","002342","3438.1494N","9220.7655W",96.60,183.71,55.71,75.11,29.31,3.87
true,14,"200823","002343","3438.1406N","9220.7663W",96.80,180.27,57.47,75.68,29.27,3.88
true,14,"200823","002344","3438.1318N","9220.7674W",97.00,180.06,57.37,76.01,29.22,3.88
true,13,"200823","002345","3438.1232N","9220.7684W",97.20,182.72,56.78,75.94,29.16,3.88
true,13,"200823","002346","3438.1143N","9220.7688W",97.30,180.06,57.25,75.86,29.14,3.88
true,12,"200823","002347","3438.1056N","9220.7694W",97.50,182.63,57.21,75.81,29.13,3.88
true,13,"200823","002348","3438.0971N","9220.7701W",97.70,182.31,57.19,75.80,29.10,3.83
true,13,"200823","002349","3438.0893N","9220.7709W",98.00,183.50,53.41,75.71,29.10,3.88
true,13,"200823","002350","3438.0809N","9220.7716W",98.30,185.09,53.89,75.57,29.10,3.87
true,13,"200823","002351","3438.0726N","9220.7720W",98.40,183.66,53.78,75.46,29.11,3.88
true,13,"200823","002352","3438.0647N","9220.7722W",98.50,183.03,53.19,75.39,29.13,3.88
true,12,"200823","002353","3438.0564N","9220.7728W",98.60,182.45,52.34,75.55,29.16,3.88
true,12,"200823","002354","3438.0481N","9220.7733W",98.60,182.24,51.76,76.19,29.18,3.88
true,14,"200823","002355","3438.0406N","9220.7732W",98.70,181.03,52.15,76.94,29.16,3.88
true,14,"200823","002356","3438.0324N","9220.7728W",98.70,181.47,53.56,77.17,29.15,3.87
true,14,"200823","002357","3438.0241N","9220.7731W",98.80,180.82,54.30,77.46,29.09,3.87
true,14,"200823","002358","3438.0155N","9220.7734W",98.90,181.64,54.41,77.59,29.02,3.88
true,14,"200823","002359","3438.0069N","9220.7736W",99.10,179.53,54.76,77.45,28.97,3.88
true,14,"200823","002400","3437.9989N","9220.7734W",99.40,180.32,53.47,77.31,28.86,3.88
true,14,"200823","002401","3437.9911N","9220.7732W",99.70,181.81,54.39,77.26,28.82,3.88
true,13,"200823","002402","3437.9831N","9220.7738W",100.00,181.83,54.10,76.51,28.77,3.88
true,14,"200823","002403","3437.9754N","9220.7737W",100.40,180.41,53.89,76.59,28.77,3.88
true,13,"200823","002404","3437.9679N","9220.7734W",100.70,178.13,53.56,76.72,28.79,3.88
true,13,"200823","002405","3437.9607N","9220.7729W",101.00,177.25,48.56,75.08,28.92,3.88
true,14,"200823","002406","3437.9532N","9220.7731W",101.80,178.66,47.04,73.79,29.03,3.88
true,13,"200823","002407","3437.9461N","9220.7734W",102.20,179.95,47.13,72.25,29.19,3.88
true,13,"200823","002408","3437.9393N","9220.7733W",102.60,178.71,45.26,70.98,29.39,3.88
true,13,"200823","002409","3437.9321N","9220.7736W",103.20,179.60,47.39,69.89,29.57,3.87
true,13,"200823","002410","3437.9249N","9220.7738W",103.60,179.43,48.78,68.98,29.75,3.88
true,13,"200823","002411","3437.9175N","9220.7737W",104.20,179.07,49.23,68.69,29.82,3.88
true,12,"200823","002412","3437.9094N","9220.7743W",104.70,180.83,48.99,68.29,29.90,3.87
true,12,"200823","002413","3437.9013N","9220.7750W",105.20,183.68,52.41,67.82,30.01,3.88
true,13,"200823","002414","3437.8930N","9220.7753W",105.80,181.62,54.41,67.21,30.11,3.87
true,13,"200823","002415","3437.8833N","9220.7754W",106.40,180.91,58.21,66.43,30.29,3.87
true,14,"200823","002416","3437.8745N","9220.7762W",106.70,182.16,57.45,66.26,30.40,3.88
true,13,"200823","002417","3437.8657N","9220.7779W",107.40,183.91,57.00,65.95,30.51,3.88
true,14,"200823","002418","3437.8570N","9220.7782W",107.80,181.78,56.99,66.25,30.60,3.87
true,13,"200823","002419","3437.8482N","9220.7789W",108.20,182.28,58.97,66.35,30.69,3.87
true,14,"200823","002420","3437.8389N","9220.7796W",108.60,182.58,61.54,66.20,30.78,3.87
true,14,"200823","002421","3437.8296N","9220.7798W",109.10,181.71,62.97,66.16,30.80,3.88
true,13,"200823","002422","3437.8195N","9220.7798W",108.60,183.59,63.89,66.05,30.81,3.88
true,14,"200823","002423","3437.8093N","9220.7800W",108.90,183.15,64.76,65.69,30.82,3.87
true,14,"200823","002424","3437.7992N","9220.7803W",109.20,183.24,64.43,65.44,30.84,3.87
true,14,"200823","002425","3437.7893N","9220.7809W",109.40,184.42,62.99,65.61,30.83,3.87
true,14,"200823","002426","3437.7801N","9220.7811W",109.60,183.41,60.80,65.56,30.83,3.87
true,13,"200823","002427","3437.7715N","9220.7817W",109.90,182.52,57.86,65.60,30.84,3.88
true,12,"200823","002428","3437.7627N","9220.7820W",110.20,182.00,56.34,65.41,30.85,3.88
true,14,"200823","002429","3437.7545N","9220.7819W",110.30,182.33,53.93,65.57,30.85,3.87
true,13,"200823","002430","3437.7465N","9220.7829W",110.70,184.67,53.25,66.00,30.85,3.88
true,13,"200823","002431","3437.7385N","9220.7834W",111.20,185.36,54.84,66.15,30.85,3.88
true,14,"200823","002432","3437.7303N","9220.7838W",111.60,182.67,53.00,66.36,30.81,3.88
true,13,"200823","002433","3437.7216N","9220.7843W",111.60,182.54,59.49,66.50,30.78,3.88
true,13,"200823","002434","3437.7127N","9220.7847W",111.60,181.87,59.02,66.79,30.73,3.87
true,13,"200823","002435","3437.7040N","9220.7847W",111.80,178.37,58.36,66.91,30.68,3.88
true,14,"200823","002436","3437.6955N","9220.7844W",112.00,176.69,57.02,67.03,30.63,3.88
true,13,"200823","002437","3437.6875N","9220.7840W",112.10,175.41,54.28,67.29,30.55,3.88
true,13,"200823","002438","3437.6796N","9220.7835W",112.40,174.55,54.19,67.55,30.48,3.88
true,13,"200823","002439","3437.6726N","9220.7840W",112.60,175.66,50.32,67.70,30.44,3.88
true,14,"200823","002440","3437.6658N","9220.7846W",113.10,179.05,46.15,68.46,30.41,3.88
true,14,"200823","002441","3437.6585N","9220.7862W",114.60,181.60,44.11,68.77,30.39,3.88
true,14,"200823","002442","3437.6522N","9220.7871W",116.00,179.38,40.50,68.99,30.39,3.88
true,15,"200823","002443","3437.6472N","9220.7875W",117.00,176.68,35.95,68.89,30.40,3.88
true,15,"200823","002444","3437.6430N","9220.7875W",118.00,169.51,30.60,68.84,30.43,3.88
true,13,"200823","002445","3437.6410N","9220.7863W",118.90,161.80,22.28,68.72,30.44,3.88
true,15,"200823","002446","3437.6390N","9220.7856W",119.70,141.47,17.80,68.61,30.44,3.88
true,14,"200823","002447","3437.6389N","9220.7845W",120.30,119.03,11.76,68.80,30.46,3.88
true,14,"200823","002448","3437.6405N","9220.7827W",121.30,98.38,7.61,68.56,30.47,3.88
true,14,"200823","002449","3437.6414N","9220.7816W",121.90,57.16,7.15,68.36,30.47,3.88
true,14,"200823","002450","3437.6427N","9220.7811W",122.60,24.19,6.46,68.53,30.45,3.87
true,15,"200823","002451","3437.6438N","9220.7813W",123.80,2.44,6.17,68.62,30.44,3.88
true,15,"200823","002452","3437.6445N","9220.7819W",124.90,2.44,5.20,68.69,30.43,3.88
true,15,"200823","002453","3437.6454N","9220.7825W",125.60,307.22,5.87,69.12,30.43,3.88
true,15,"200823","002454","3437.6456N","9220.7838W",126.70,289.53,6.24,69.12,30.43,3.88
true,15,"200823","002455","3437.6460N","9220.7850W",127.50,289.53,4.96,69.42,30.44,3.88
true,15,"200823","002456","3437.6455N","9220.7864W",128.10,289.53,0.09,69.45,30.44,3.88
true,15,"200823","002457","3437.6454N","9220.7865W",127.90,289.53,0.04,69.45,30.46,3.88
true,13,"200823","002458","3437.6454N","9220.7867W",127.70,289.53,0.04,69.37,30.47,3.88
true,13,"200823","002459","3437.6455N","9220.7870W",127.70,289.53,0.04,69.05,30.47,3.88
true,15,"200823","002500","3437.6460N","9220.7874W",127.60,289.53,0.15,69.15,30.46,3.87
true,14,"200823","002501","3437.6465N","9220.7879W",127.80,329.34,7.28,69.06,30.45,3.88
true,15,"200823","002502","3437.6482N","9220.7884W",127.80,341.87,8.50,69.07,30.43,3.88
true,14,"200823","002503","3437.6523N","9220.7894W",126.30,350.98,13.54,69.05,30.41,3.88
true,14,"200823","002504","3437.6572N","9220.7902W",125.40,355.14,19.21,68.83,30.43,3.88
true,14,"200823","002505","3437.6620N","9220.7902W",125.30,0.67,23.84,68.34,30.49,3.88
true,14,"200823","002506","3437.6692N","9220.7896W",124.80,3.08,33.00,68.26,30.49,3.88
true,14,"200823","002507","3437.6780N","9220.7895W",123.90,0.61,43.04,68.00,30.51,3.87
true,15,"200823","002508","3437.6855N","9220.7891W",124.10,1.92,47.17,68.01,30.53,3.87
true,14,"200823","002509","3437.6927N","9220.7882W",124.00,7.50,50.19,68.06,30.51,3.87
true,13,"200823","002510","3437.7009N","9220.7871W",124.00,7.84,54.95,68.04,30.47,3.88
true,13,"200823","002511","3437.7091N","9220.7864W",124.10,7.75,55.69,68.00,30.45,3.88
true,12,"200823","002512","3437.7174N","9220.7855W",124.30,4.39,52.50,67.73,30.45,3.88
true,11,"200823","002513","3437.7253N","9220.7848W",124.50,3.23,50.47,67.37,30.46,3.88
true,11,"200823","002514","3437.7330N","9220.7843W",124.60,4.41,50.43,66.76,30.56,3.87
true,12,"200823","002515","3437.7405N","9220.7838W",124.70,3.58,48.82,66.52,30.62,3.88
