hasfix,satellitesused,lat,lon,altitude,course,speedkmhr,humidity,temperature,bat,sensor_number,datetime
True,8,34.745410,-92.301190,146.20,324.13,1.85,41.11,30.95,3.88,2141,2023-08-19 23:23:30+00:00
True,8,34.745340,-92.301232,166.50,323.74,1.26,44.03,31.03,3.88,2141,2023-08-19 23:23:31+00:00
True,8,34.745315,-92.301237,171.50,337.82,1.46,46.77,31.20,3.89,2141,2023-08-19 23:23:33+00:00
True,8,34.745305,-92.301217,176.90,337.82,1.02,47.35,31.25,3.88,2141,2023-08-19 23:23:34+00:00
True,8,34.745337,-92.301198,171.80,337.82,0.87,47.84,31.34,3.89,2141,2023-08-19 23:23:35+00:00
True,8,34.745355,-92.301193,170.10,337.82,0.94,48.15,31.43,3.88,2141,2023-08-19 23:23:36+00:00
True,8,34.745352,-92.301183,173.00,337.82,0.78,48.35,31.51,3.88,2141,2023-08-19 23:23:37+00:00
True,8,34.745347,-92.301170,174.60,337.82,0.72,48.81,31.63,3.88,2141,2023-08-19 23:23:38+00:00
True,8,34.745338,-92.301167,176.50,337.82,0.67,48.79,31.71,3.88,2141,2023-08-19 23:23:39+00:00
True,8,34.745347,-92.301162,174.60,337.82,0.74,48.85,31.82,3.88,2141,2023-08-19 23:23:40+00:00
True,8,34.745357,-92.301162,173.50,337.82,0.46,48.83,31.97,3.90,2141,2023-08-19 23:23:41+00:00
True,8,34.745342,-92.301153,176.60,337.82,0.48,48.58,32.12,3.88,2141,2023-08-19 23:23:42+00:00
True,8,34.745333,-92.301150,179.00,337.82,0.39,48.59,32.25,3.88,2141,2023-08-19 23:23:43+00:00
True,8,34.745338,-92.301150,178.10,337.82,0.04,48.41,32.31,3.88,2141,2023-08-19 23:23:44+00:00
True,8,34.745343,-92.301157,177.90,337.82,0.20,48.24,32.38,3.88,2141,2023-08-19 23:23:45+00:00
True,8,34.745350,-92.301160,177.40,337.82,0.15,48.02,32.45,3.88,2141,2023-08-19 23:23:46+00:00
True,8,34.745357,-92.301162,176.20,337.82,0.07,47.90,32.52,3.88,2141,2023-08-19 23:23:47+00:00
True,8,34.745363,-92.301162,174.70,337.82,0.07,48.06,32.58,3.89,2141,2023-08-19 23:23:48+00:00
True,8,34.745370,-92.301162,173.70,337.82,0.20,48.03,32.62,3.88,2141,2023-08-19 23:23:49+00:00
True,8,34.745380,-92.301158,173.50,337.82,0.39,47.89,32.67,3.88,2141,2023-08-19 23:23:50+00:00
True,8,34.745385,-92.301158,173.20,337.82,0.31,47.76,32.70,3.89,2141,2023-08-19 23:23:51+00:00
True,8,34.745387,-92.301160,172.60,337.82,0.15,47.81,32.72,3.89,2141,2023-08-19 23:23:52+00:00
True,8,34.745392,-92.301158,172.80,337.82,0.43,47.92,32.75,3.88,2141,2023-08-19 23:23:53+00:00
True,8,34.745405,-92.301155,172.60,337.82,0.61,47.86,32.75,3.85,2141,2023-08-19 23:23:54+00:00
True,8,34.745442,-92.301122,167.90,337.82,0.65,47.71,32.77,3.88,2141,2023-08-19 23:23:55+00:00
True,8,34.745452,-92.301098,163.80,337.82,0.22,47.67,32.78,3.88,2141,2023-08-19 23:23:56+00:00
True,8,34.745462,-92.301085,160.60,337.82,0.11,47.70,32.80,3.88,2141,2023-08-19 23:23:57+00:00
True,8,34.745473,-92.301105,157.60,337.82,0.54,47.75,32.82,3.85,2141,2023-08-19 23:23:58+00:00
True,8,34.745472,-92.301093,155.90,337.82,0.74,47.59,32.84,3.88,2141,2023-08-19 23:23:59+00:00
True,8,34.745463,-92.301093,154.80,159.65,1.09,47.63,32.90,3.88,2141,2023-08-19 23:24:00+00:00
True,8,34.745457,-92.301095,152.30,154.22,2.28,47.43,32.99,3.87,2141,2023-08-19 23:24:01+00:00
True,8,34.745452,-92.301095,150.40,153.33,3.11,47.22,33.10,3.88,2141,2023-08-19 23:24:02+00:00
True,8,34.745438,-92.301095,148.10,162.64,3.74,46.82,33.23,3.88,2141,2023-08-19 23:24:03+00:00
True,8,34.745452,-92.301095,136.50,168.78,4.15,46.76,33.27,3.88,2141,2023-08-19 23:24:04+00:00
True,8,34.745438,-92.301103,134.30,174.91,4.74,46.60,33.36,3.88,2141,2023-08-19 23:24:05+00:00
True,8,34.745442,-92.301130,130.20,190.82,5.41,46.27,33.47,3.88,2141,2023-08-19 23:24:06+00:00
True,8,34.745435,-92.301138,127.30,193.34,7.15,46.11,33.54,3.87,2141,2023-08-19 23:24:07+00:00
True,8,34.745422,-92.301142,124.80,186.82,7.72,45.96,33.62,3.88,2141,2023-08-19 23:24:08+00:00
True,8,34.745417,-92.301140,121.90,180.87,6.24,45.89,33.65,3.88,2141,2023-08-19 23:24:09+00:00
True,8,34.745405,-92.301153,119.50,155.41,5.83,45.66,33.71,3.86,2141,2023-08-19 23:24:10+00:00
True,9,34.745395,-92.301132,115.70,140.55,5.91,45.58,33.75,3.88,2141,2023-08-19 23:24:11+00:00
True,9,34.745397,-92.301110,112.00,120.60,5.57,45.47,33.81,3.88,2141,2023-08-19 23:24:12+00:00
True,8,34.745393,-92.301098,110.90,94.15,4.56,45.27,33.88,3.88,2141,2023-08-19 23:24:13+00:00
True,8,34.745403,-92.301082,109.10,87.32,4.04,45.35,33.90,3.88,2141,2023-08-19 23:24:14+00:00
True,9,34.745412,-92.301070,108.70,87.32,0.89,45.25,33.92,3.88,2141,2023-08-19 23:24:15+00:00
True,8,34.745412,-92.301070,108.80,87.32,0.37,45.14,33.94,3.87,2141,2023-08-19 23:24:16+00:00
True,9,34.745410,-92.301070,108.80,87.32,0.09,45.17,33.98,3.87,2141,2023-08-19 23:24:17+00:00
True,9,34.745412,-92.301077,108.90,279.48,1.31,45.10,34.06,3.88,2141,2023-08-19 23:24:18+00:00
True,9,34.745408,-92.301085,109.00,267.22,2.00,45.00,34.10,3.88,2141,2023-08-19 23:24:19+00:00
True,9,34.745405,-92.301092,109.10,270.33,2.09,44.74,34.15,3.88,2141,2023-08-19 23:24:20+00:00
True,9,34.745403,-92.301100,109.20,279.00,2.50,44.46,34.21,3.88,2141,2023-08-19 23:24:21+00:00
True,9,34.745400,-92.301107,109.20,280.57,2.48,44.37,34.25,3.88,2141,2023-08-19 23:24:22+00:00
True,9,34.745398,-92.301112,109.20,284.30,2.02,44.28,34.26,3.88,2141,2023-08-19 23:24:23+00:00
True,9,34.745395,-92.301120,109.10,276.92,2.43,44.12,34.26,3.88,2141,2023-08-19 23:24:24+00:00
True,9,34.745393,-92.301125,109.00,269.66,2.02,44.08,34.27,3.87,2141,2023-08-19 23:24:25+00:00
